match_id,date,team,opponent,side,source,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg,corners
2022_11_26_Tunisia_vs_Australia,2022-11-26,Australia,Tunisia,away,whoscored,1,0,41,9,4,398,66,0,0,10,15,49,,
2022_11_27_Belgium_vs_Morocco,2022-11-27,Belgium,Morocco,home,fotmob,0,2,67,10,3,652,88,2,2,2,10,51,0.96,9
2022_11_27_Belgium_vs_Morocco,2022-11-27,Morocco,Belgium,away,fotmob,2,0,33,10,4,328,84,1,0,3,14,49,1.48,1
2022_11_27_Belgium_vs_Morocco,2022-11-27,Belgium,Morocco,home,whoscored,0,2,67,10,5,698,86,2,2,2,10,48,,
2022_11_27_Belgium_vs_Morocco,2022-11-27,Morocco,Belgium,away,whoscored,2,0,33,10,4,348,82,1,0,6,14,52,,
2022_11_27_Croatia_vs_Canada,2022-11-27,Croatia,Canada,home,fotmob,4,1,48,13,10,443,84,6,4,1,13,44,2.33,5
2022_11_27_Croatia_vs_Canada,2022-11-27,Canada,Croatia,away,fotmob,1,4,52,8,2,473,84,1,0,6,5,56,0.39,2
2022_11_27_Croatia_vs_Canada,2022-11-27,Croatia,Canada,home,whoscored,4,1,49,13,10,497,81,6,4,4,13,41,,
2022_11_27_Croatia_vs_Canada,2022-11-27,Canada,Croatia,away,whoscored,1,4,51,8,5,525,83,1,0,6,5,59,,
2022_11_27_Japan_vs_Costa_Rica,2022-11-27,Japan,Costa Rica,home,fotmob,0,1,57,13,3,582,87,0,0,0,22,43,0.88,5
2022_11_27_Japan_vs_Costa_Rica,2022-11-27,Costa Rica,Japan,away,fotmob,1,0,43,4,1,443,80,0,0,3,9,57,0.11,0
2022_11_27_Japan_vs_Costa_Rica,2022-11-27,Japan,Costa Rica,home,whoscored,0,1,57,13,10,619,85,0,0,1,22,51,,
2022_11_27_Japan_vs_Costa_Rica,2022-11-27,Costa Rica,Japan,away,whoscored,1,0,43,4,2,471,79,0,0,9,9,49,,
2022_11_27_Spain_vs_Germany,2022-11-27,Spain,Germany,home,fotmob,1,1,64,7,3,634,85,1,0,3,13,43,0.57,6
2022_11_27_Spain_vs_Germany,2022-11-27,Germany,Spain,away,fotmob,1,1,36,11,4,343,79,2,1,2,11,57,1.22,5
2022_11_27_Spain_vs_Germany,2022-11-27,Spain,Germany,home,whoscored,1,1,64,7,5,668,85,1,0,6,13,45,,
2022_11_27_Spain_vs_Germany,2022-11-27,Germany,Spain,away,whoscored,1,1,36,11,7,375,76,2,1,4,11,55,,
2022_11_28_Brazil_vs_Switzerland,2022-11-28,Brazil,Switzerland,home,fotmob,1,0,54,13,5,550,88,2,2,0,10,59,1.02,8
