match_id,date,team,opponent,side,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg
2026_06_22_Uruguay_vs_Cape_Verde,2026-06-22,Uruguay,Cape Verde,home,2,2,65,17,9,573,79,2,0,6,11,45,2.07
2026_06_22_Uruguay_vs_Cape_Verde,2026-06-22,Cape Verde,Uruguay,away,2,2,35,12,8,309,72,1,0,7,4,55,0.82
2026_06_23_England_vs_Ghana,2026-06-23,England,Ghana,home,0,0,78,19,9,686,90,2,2,1,14,50,1.62
2026_06_23_England_vs_Ghana,2026-06-23,Ghana,England,away,0,0,22,2,2,188,73,1,1,9,24,50,0.56
2026_06_23_Jordan_vs_Algeria,2026-06-23,Jordan,Algeria,home,1,2,29,8,4,287,72,1,1,11,11,45,0.6
2026_06_23_Jordan_vs_Algeria,2026-06-23,Algeria,Jordan,away,2,1,71,17,13,693,86,3,2,3,6,55,1.75
2026_06_23_Norway_vs_Senegal,2026-06-23,Norway,Senegal,home,3,2,42,13,10,383,80,5,3,7,13,51,2.33
2026_06_23_Norway_vs_Senegal,2026-06-23,Senegal,Norway,away,2,3,58,16,9,533,86,4,2,6,5,49,2.36
2026_06_23_Portugal_vs_Uzbekistan,2026-06-23,Portugal,Uzbekistan,home,5,0,66,17,12,669,88,7,5,5,14,56,3.31
2026_06_23_Portugal_vs_Uzbekistan,2026-06-23,Uzbekistan,Portugal,away,0,5,34,8,6,350,79,0,0,7,15,44,0.35
2026_06_24_Bosnia_and_Herzegovina_vs_Qatar,2026-06-24,Bosnia and Herzegovina,Qatar,home,3,1,54,14,10,553,85,1,1,2,9,69,0.89
2026_06_24_Bosnia_and_Herzegovina_vs_Qatar,2026-06-24,Qatar,Bosnia and Herzegovina,away,1,3,46,10,4,471,84,2,1,8,14,31,1.24
2026_06_24_Colombia_vs_DR_Congo,2026-06-24,Colombia,DR Congo,home,1,0,63,20,15,568,86,2,2,3,12,59,1.42
2026_06_24_Colombia_vs_DR_Congo,2026-06-24,DR Congo,Colombia,away,0,1,37,7,3,339,72,0,0,14,16,41,0.37
2026_06_24_Panama_vs_Croatia,2026-06-24,Panama,Croatia,home,0,1,42,8,3,404,74,1,1,3,19,57,0.65
2026_06_24_Panama_vs_Croatia,2026-06-24,Croatia,Panama,away,1,0,58,6,3,551,83,3,2,4,12,43,1.74
2026_06_24_Switzerland_vs_Canada,2026-06-24,Switzerland,Canada,home,2,1,55,6,5,477,81,3,2,9,19,55,1.29
2026_06_24_Switzerland_vs_Canada,2026-06-24,Canada,Switzerland,away,1,2,45,13,10,394,74,2,1,3,13,45,1.43
2026_06_25_Curacao_vs_Ivory_Coast,2026-06-25,Curacao,Ivory Coast,home,0,2,37,11,4,390,81,0,0,2,11,58,0.5
2026_06_25_Curacao_vs_Ivory_Coast,2026-06-25,Ivory Coast,Curacao,away,2,0,63,7,4,661,87,3,1,4,6,42,1.43
2026_06_25_Czechia_vs_Mexico,2026-06-25,Czechia,Mexico,home,0,3,52,13,5,450,80,0,0,4,9,53,0.59
2026_06_25_Czechia_vs_Mexico,2026-06-25,Mexico,Czechia,away,3,0,48,11,7,423,83,5,2,4,13,47,2.28
2026_06_25_Ecuador_vs_Germany,2026-06-25,Ecuador,Germany,home,2,1,39,7,5,410,81,2,1,7,15,52,1.8
2026_06_25_Ecuador_vs_Germany,2026-06-25,Germany,Ecuador,away,1,2,61,11,8,638,85,2,1,3,10,48,1.31
2026_06_25_Morocco_vs_Haiti,2026-06-25,Morocco,Haiti,home,4,2,69,23,17,590,86,5,2,5,10,52,3.46
2026_06_25_Morocco_vs_Haiti,2026-06-25,Haiti,Morocco,away,2,4,31,9,5,268,80,1,1,14,18,48,1.16
