match_id,event_id,market_xg
4837120,124,0.05276309326291084
4837120,110,0.028170330449938774
4837120,79,0.029197653755545616
4837120,454,0.08630038052797318
4837120,417,0.026510903611779213
4837121,13,0.016405470669269562
4837121,81,0.1385723352432251
4837121,169,0.07968876510858536
4837121,513,0.03367156162858009
4837121,150,0.07097267359495163
4837121,354,0.07285048812627792
4837121,356,0.03417159244418144
4837121,492,0.09561407566070557
4837121,291,0.044386230409145355
4837121,439,0.08407554030418396
4837121,777,0.02998838759958744
4837121,598,0.037538979202508926
4837121,808,0.09742449223995209
4837121,633,0.029587388038635254
4837121,205,0.011423378251492977
4837121,201,0.07038666307926178
4837121,92,0.031747788190841675
4837121,345,0.5252549648284912
4837121,491,0.01918761618435383
4837121,269,0.013403872959315777
4837122,631,0.05726628750562668
4837122,596,0.04170840233564377
4837122,717,0.12645243108272552
4837122,716,0.07512999325990677
4837122,158,0.03590971976518631
4837122,528,0.01052323542535305
4837122,426,0.10447317361831665
4837122,1005,0.05469271540641785
4837122,54,0.04060618579387665
4837122,420,0.06126224622130394
4837122,863,0.15014894306659698
4837122,534,0.01732051372528076
4837122,990,0.3859567642211914
4837122,770,0.023960405960679054
4837122,543,0.016510548070073128
4837122,409,0.03108205273747444
4837122,959,0.06685933470726013
4837122,1008,0.0671992376446724
4837122,1066,0.13101263344287872
4837122,358,0.021229032427072525
4837122,472,0.11338215321302414
4837122,152,0.021408015862107277
4837122,456,0.14161595702171326
4837122,453,0.04912465438246727
4837122,465,0.05588873475790024
4837122,670,0.022451035678386688
4837122,455,0.10970034450292587
4837122,291,0.017313338816165924
4837122,233,0.030634218826889992
4837122,819,0.0311629306524992
4837122,372,0.04796295240521431
4837122,76,0.023292705416679382
4837123,120,0.021674131974577904
4837123,673,0.06485871225595474
4837123,888,0.05832374840974808
4837123,333,0.0204880703240633
4837123,868,0.21812961995601654
4837123,60,0.02137771248817444
4837123,743,0.08537418395280838
4837123,619,0.09824149310588837
4837123,87,0.4914768934249878
4837123,215,0.6203585863113403
4837123,362,0.20873168110847473
4837123,795,0.020352168008685112
4837123,394,0.07608544826507568
4837123,214,0.10610796511173248
4837123,893,0.06928317993879318
4837123,429,0.024814318865537643
4837123,612,0.04811617359519005
4837123,719,0.008229456841945648
4837123,859,0.018817881122231483
4837123,267,0.02247912622988224
4837123,352,0.25717097520828247
4837123,270,0.061132680624723434
4837123,30,0.4023973345756531
4837123,613,0.5626542568206787
4837123,334,0.026222296059131622
4837123,549,0.05012480542063713
4837123,187,0.008104241453111172
4837124,96,0.5942041873931885
4837124,256,0.11669415980577469
4837124,284,0.100552998483181
4837124,322,0.25471705198287964
4837124,328,0.49508702754974365
4837124,257,0.13431237637996674
4837124,219,0.26494523882865906
4837124,627,0.019605018198490143
4837124,942,0.0544249527156353
4837124,453,0.39841368794441223
4837124,728,0.11006762832403183
4837124,678,0.06416681408882141
4837124,1031,0.07308696210384369
4837124,664,0.3345003128051758
